Sample Name	Sample title	BioProject Accession	Organism	host	isolation source	collection date	geographic location	latitude and longitude	Sample type	Isolate
oro160088		PRJNA518082	not collected		feces metagenome	2016-06-27	USA: Hopkinton NH	not collected	sample	oro160088
oro160090		PRJNA518082	not collected		feces metagenome	2016-06-27	USA: Hopkinton NH	not collected	sample	oro160090
oro160091		PRJNA518082	not collected		feces metagenome	2016-06-27	USA: Hopkinton NH	not collected	sample	oro160091
oro160092		PRJNA518082	not collected		feces metagenome	2016-06-27	USA: Hopkinton NH	not collected	sample	oro160092
oro160093		PRJNA518082	not collected		feces metagenome	2016-06-27	USA: Hopkinton NH	not collected	sample	oro160093
oro160094		PRJNA518082	not collected		feces metagenome	2016-06-27	USA: Hopkinton NH	not collected	sample	oro160094
oro160095		PRJNA518082	not collected		feces metagenome	2016-06-27	USA: Hopkinton NH	not collected	sample	oro160095
oro160096		PRJNA518082	not collected		feces metagenome	2016-06-27	USA: Hopkinton NH	not collected	sample	oro160096
oro160384		PRJNA518082	not collected		feces metagenome	2016-04-22	USA: Brown Lane Hollis NH	not collected	sample	oro160384
oro160385		PRJNA518082	not collected		feces metagenome	2016-04-22	USA: Brown Lane Hollis NH	not collected	sample	oro160385
oro160386		PRJNA518082	not collected		feces metagenome	2016-04-22	USA: Brown Lane Hollis NH	not collected	sample	oro160386
oro160387		PRJNA518082	not collected		feces metagenome	2016-04-22	USA: Brown Lane Hollis NH	not collected	sample	oro160387
oro160388		PRJNA518082	not collected		feces metagenome	2016-04-22	USA: Brown Lane Hollis NH	not collected	sample	oro160388
oro160392		PRJNA518082	not collected		feces metagenome	2016-04-22	USA: Brown Lane Hollis NH	not collected	sample	oro160392
oro160393		PRJNA518082	not collected		feces metagenome	2016-04-22	USA: Brown Lane Hollis NH	not collected	sample	oro160393
oro160394		PRJNA518082	not collected		feces metagenome	2016-04-22	USA: Brown Lane Hollis NH	not collected	sample	oro160394
oro160395		PRJNA518082	not collected		feces metagenome	2016-04-22	USA: Brown Lane Hollis NH	not collected	sample	oro160395
oro160396		PRJNA518082	not collected		feces metagenome	2016-04-29	USA: Maple Hill Hollis NH	not collected	sample	oro160396
oro160397		PRJNA518082	not collected		feces metagenome	2016-04-29	USA: Maple Hill Hollis NH	not collected	sample	oro160397
oro160398		PRJNA518082	not collected		feces metagenome	2016-04-29	USA: Maple Hill Hollis NH	not collected	sample	oro160398
oro160399		PRJNA518082	not collected		feces metagenome	2016-04-29	USA: Maple Hill Hollis NH	not collected	sample	oro160399
oro160400		PRJNA518082	not collected		feces metagenome	2016-04-29	USA: Maple Hill Hollis NH	not collected	sample	oro160400
