Sample Name,Sample title,BioProject accession,Organism,host,isolation source,collection date,geographic location,latitude and longitude,library,sample type,isolate
oro161442,oro161442,PRJNA518082,not collected,not collected,feces metagenome,2016-05-19,USA: Canterbury NH,not applicable,libA,sample,oro161442
oro161443,oro161443,PRJNA518082,not collected,not collected,feces metagenome,2016-05-19,USA: Canterbury NH,not applicable,libA,sample,oro161443
oro161444,oro161444,PRJNA518082,not collected,not collected,feces metagenome,2016-05-19,USA: Canterbury NH,not applicable,libA,sample,oro161444
oro161445,oro161445,PRJNA518082,not collected,not collected,feces metagenome,2016-05-19,USA: Canterbury NH,not applicable,libA,sample,oro161445
oro161447,oro161447,PRJNA518082,not collected,not collected,feces metagenome,2016-05-26,USA: Canterbury NH,not applicable,libA,sample,oro161447
oro161448,oro161448,PRJNA518082,not collected,not collected,feces metagenome,2016-05-26,USA: Canterbury NH,not applicable,libA,sample,oro161448
oro161449,oro161449,PRJNA518082,not collected,not collected,feces metagenome,2016-05-26,USA: Canterbury NH,not applicable,libA,sample,oro161449
oro161450,oro161450,PRJNA518082,not collected,not collected,feces metagenome,2016-05-26,USA: Canterbury NH,not applicable,libA,sample,oro161450
oro161451,oro161451,PRJNA518082,not collected,not collected,feces metagenome,2016-05-26,USA: Canterbury NH,not applicable,libA,sample,oro161451
oro161452,oro161452,PRJNA518082,not collected,not collected,feces metagenome,2016-05-26,USA: Canterbury NH,not applicable,libA,sample,oro161452
oro161453,oro161453,PRJNA518082,not collected,not collected,feces metagenome,2016-05-26,USA: Canterbury NH,not applicable,libA,sample,oro161453
oro161454,oro161454,PRJNA518082,not collected,not collected,feces metagenome,2016-05-26,USA: Canterbury NH,not applicable,libA,sample,oro161454
oro161455,oro161455,PRJNA518082,not collected,not collected,feces metagenome,2016-05-26,USA: Canterbury NH,not applicable,libA,sample,oro161455
oro161457,oro161457,PRJNA518082,not collected,not collected,feces metagenome,2016-05-26,USA: Canterbury NH,not applicable,libA,sample,oro161457
oro161458,oro161458,PRJNA518082,not collected,not collected,feces metagenome,2016-06-03,USA: Canterbury NH,not applicable,libA,sample,oro161458
oro161459,oro161459,PRJNA518082,not collected,not collected,feces metagenome,2016-06-03,USA: Canterbury NH,not applicable,libA,sample,oro161459
oro161461,oro161461,PRJNA518082,not collected,not collected,feces metagenome,2016-06-03,USA: Canterbury NH,not applicable,libA,sample,oro161461
oro161462,oro161462,PRJNA518082,not collected,not collected,feces metagenome,2016-06-03,USA: Canterbury NH,not applicable,libA,sample,oro161462
oro161463,oro161463,PRJNA518082,not collected,not collected,feces metagenome,2016-06-03,USA: Canterbury NH,not applicable,libA,sample,oro161463
oro161464,oro161464,PRJNA518082,not collected,not collected,feces metagenome,2016-06-03,USA: Canterbury NH,not applicable,libA,sample,oro161464
oro161465,oro161465,PRJNA518082,not collected,not collected,feces metagenome,2016-06-03,USA: Canterbury NH,not applicable,libA,sample,oro161465
oro161466,oro161466,PRJNA518082,not collected,not collected,feces metagenome,2016-06-03,USA: Canterbury NH,not applicable,libA,sample,oro161466
oro161467,oro161467,PRJNA518082,not collected,not collected,feces metagenome,2016-06-03,USA: Canterbury NH,not applicable,libA,sample,oro161467
oro161468,oro161468,PRJNA518082,not collected,not collected,feces metagenome,2016-06-03,USA: Canterbury NH,not applicable,libA,sample,oro161468
oro161470,oro161470,PRJNA518082,not collected,not collected,feces metagenome,2016-06-11,USA: Canterbury NH,not applicable,libA,sample,oro161470
oro161471,oro161471,PRJNA518082,not collected,not collected,feces metagenome,2016-06-11,USA: Canterbury NH,not applicable,libA,sample,oro161471
oro161472,oro161472,PRJNA518082,not collected,not collected,feces metagenome,2016-06-11,USA: Canterbury NH,not applicable,libA,sample,oro161472
oro161473,oro161473,PRJNA518082,not collected,not collected,feces metagenome,2016-06-11,USA: Canterbury NH,not applicable,libA,sample,oro161473
oro161474,oro161474,PRJNA518082,not collected,not collected,feces metagenome,2016-06-11,USA: Canterbury NH,not applicable,libA,sample,oro161474
oro161475,oro161475,PRJNA518082,not collected,not collected,feces metagenome,2016-06-11,USA: Canterbury NH,not applicable,libA,sample,oro161475
oro161476,oro161476,PRJNA518082,not collected,not collected,feces metagenome,2016-06-11,USA: Canterbury NH,not applicable,libA,sample,oro161476
oro161477,oro161477,PRJNA518082,not collected,not collected,feces metagenome,2016-06-11,USA: Canterbury NH,not applicable,libA,sample,oro161477
oro161478,oro161478,PRJNA518082,not collected,not collected,feces metagenome,2016-06-11,USA: Canterbury NH,not applicable,libA,sample,oro161478
oro161479,oro161479,PRJNA518082,not collected,not collected,feces metagenome,2016-06-11,USA: Canterbury NH,not applicable,libA,sample,oro161479
oro161480,oro161480,PRJNA518082,not collected,not collected,feces metagenome,2016-06-11,USA: Canterbury NH,not applicable,libA,sample,oro161480
