Sample Name	Sample title	BioProject Accession	Organism	host	isolation source	collection date	geographic location	latitude and longitude	Sample type	Isolate
oro164291		PRJNA518082	not collected		feces metagenome	2016-08-01	USA: Hopkinton NH	not collected	sample	oro164291
oro164294		PRJNA518082	not collected		feces metagenome	2016-08-01	USA: Hopkinton NH	not collected	sample	oro164294
oro164295		PRJNA518082	not collected		feces metagenome	2016-08-01	USA: Hopkinton NH	not collected	sample	oro164295
oro164296		PRJNA518082	not collected		feces metagenome	2016-08-07	USA: Hopkinton NH	not collected	sample	oro164296
oro164297		PRJNA518082	not collected		feces metagenome	2016-08-07	USA: Hopkinton NH	not collected	sample	oro164297
oro164299		PRJNA518082	not collected		feces metagenome	2016-08-07	USA: Hopkinton NH	not collected	sample	oro164299
oro164302		PRJNA518082	not collected		feces metagenome	2016-08-07	USA: Hopkinton NH	not collected	sample	oro164302
oro164303		PRJNA518082	not collected		feces metagenome	2016-08-07	USA: Hopkinton NH	not collected	sample	oro164303
oro164304		PRJNA518082	not collected		feces metagenome	2016-08-07	USA: Hopkinton NH	not collected	sample	oro164304
oro164305		PRJNA518082	not collected		feces metagenome	2016-08-07	USA: Hopkinton NH	not collected	sample	oro164305
oro164306		PRJNA518082	not collected		feces metagenome	2016-08-07	USA: Hopkinton NH	not collected	sample	oro164306
oro164307		PRJNA518082	not collected		feces metagenome	2016-08-07	USA: Hopkinton NH	not collected	sample	oro164307
oro164308		PRJNA518082	not collected		feces metagenome	2016-08-15	USA: Hopkinton NH	not collected	sample	oro164308
oro164310		PRJNA518082	not collected		feces metagenome	2016-08-15	USA: Hopkinton NH	not collected	sample	oro164310
oro164486		PRJNA518082	not collected		feces metagenome	2016-09-04	USA: Epsom NH	not collected	sample	oro164486
oro164488		PRJNA518082	not collected		feces metagenome	2016-09-04	USA: Epsom NH	not collected	sample	oro164488
oro164489		PRJNA518082	not collected		feces metagenome	2016-09-04	USA: Epsom NH	not collected	sample	oro164489
oro164490		PRJNA518082	not collected		feces metagenome	2016-09-04	USA: Epsom NH	not collected	sample	oro164490
oro164491		PRJNA518082	not collected		feces metagenome	2016-09-04	USA: Epsom NH	not collected	sample	oro164491
oro164492		PRJNA518082	not collected		feces metagenome	2016-09-04	USA: Epsom NH	not collected	sample	oro164492
oro164494		PRJNA518082	not collected		feces metagenome	2016-09-04	USA: Epsom NH	not collected	sample	oro164494
oro164495		PRJNA518082	not collected		feces metagenome	2016-09-04	USA: Epsom NH	not collected	sample	oro164495
oro164496		PRJNA518082	not collected		feces metagenome	2016-09-12	USA: Epsom NH	not collected	sample	oro164496
oro164497		PRJNA518082	not collected		feces metagenome	2016-09-12	USA: Epsom NH	not collected	sample	oro164497
oro164498		PRJNA518082	not collected		feces metagenome	2016-09-12	USA: Epsom NH	not collected	sample	oro164498
oro164499		PRJNA518082	not collected		feces metagenome	2016-09-12	USA: Epsom NH	not collected	sample	oro164499
oro164500		PRJNA518082	not collected		feces metagenome	2016-09-12	USA: Epsom NH	not collected	sample	oro164500
oro164501		PRJNA518082	not collected		feces metagenome	2016-09-12	USA: Epsom NH	not collected	sample	oro164501
oro164502		PRJNA518082	not collected		feces metagenome	2016-09-12	USA: Epsom NH	not collected	sample	oro164502
oro164503		PRJNA518082	not collected		feces metagenome	2016-09-12	USA: Epsom NH	not collected	sample	oro164503
oro164504		PRJNA518082	not collected		feces metagenome	2016-09-12	USA: Epsom NH	not collected	sample	oro164504
