Sample Name	Sample title	BioProject Accession	Organism	host	isolation source	collection date	geographic location	latitude and longitude	Sample type	Isolate
oro162695		PRJNA518082	not collected		feces metagenome	2016-09-16	USA: Brown Lane Hollis NH	not collected	sample	oro162695
oro162696		PRJNA518082	not collected		feces metagenome	2016-09-25	USA: Brown Lane Hollis NH	not collected	sample	oro162696
oro162697		PRJNA518082	not collected		feces metagenome	2016-09-25	USA: Brown Lane Hollis NH	not collected	sample	oro162697
oro162698		PRJNA518082	not collected		feces metagenome	2016-09-25	USA: Brown Lane Hollis NH	not collected	sample	oro162698
oro162699		PRJNA518082	not collected		feces metagenome	2016-09-25	USA: Brown Lane Hollis NH	not collected	sample	oro162699
oro162700		PRJNA518082	not collected		feces metagenome	2016-09-25	USA: Brown Lane Hollis NH	not collected	sample	oro162700
oro162701		PRJNA518082	not collected		feces metagenome	2016-09-25	USA: Brown Lane Hollis NH	not collected	sample	oro162701
oro162702		PRJNA518082	not collected		feces metagenome	2016-09-25	USA: Brown Lane Hollis NH	not collected	sample	oro162702
oro162703		PRJNA518082	not collected		feces metagenome	2016-09-25	USA: Brown Lane Hollis NH	not collected	sample	oro162703
oro162704		PRJNA518082	not collected		feces metagenome	2016-09-25	USA: Brown Lane Hollis NH	not collected	sample	oro162704
oro162705		PRJNA518082	not collected		feces metagenome	2016-09-25	USA: Brown Lane Hollis NH	not collected	sample	oro162705
oro162706		PRJNA518082	not collected		feces metagenome	2016-09-25	USA: Brown Lane Hollis NH	not collected	sample	oro162706
oro162707		PRJNA518082	not collected		feces metagenome	2016-09-25	USA: Brown Lane Hollis NH	not collected	sample	oro162707
oro162734		PRJNA518082	not collected		feces metagenome	2016-08-22	USA: Canterbury NH	not collected	sample	oro162734
oro162735		PRJNA518082	not collected		feces metagenome	2016-08-22	USA: Canterbury NH	not collected	sample	oro162735
oro162736		PRJNA518082	not collected		feces metagenome	2016-08-22	USA: Canterbury NH	not collected	sample	oro162736
oro162737		PRJNA518082	not collected		feces metagenome	2016-08-22	USA: Canterbury NH	not collected	sample	oro162737
oro162738		PRJNA518082	not collected		feces metagenome	2016-08-22	USA: Canterbury NH	not collected	sample	oro162738
oro162739		PRJNA518082	not collected		feces metagenome	2016-08-22	USA: Canterbury NH	not collected	sample	oro162739
oro162740		PRJNA518082	not collected		feces metagenome	2016-08-22	USA: Canterbury NH	not collected	sample	oro162740
oro162741		PRJNA518082	not collected		feces metagenome	2016-08-22	USA: Canterbury NH	not collected	sample	oro162741
oro162742		PRJNA518082	not collected		feces metagenome	2016-08-22	USA: Canterbury NH	not collected	sample	oro162742
oro162743		PRJNA518082	not collected		feces metagenome	2016-08-22	USA: Canterbury NH	not collected	sample	oro162743
oro162744		PRJNA518082	not collected		feces metagenome	2016-08-22	USA: Canterbury NH	not collected	sample	oro162744
oro162745		PRJNA518082	not collected		feces metagenome	2016-08-22	USA: Canterbury NH	not collected	sample	oro162745
oro162746		PRJNA518082	not collected		feces metagenome	2016-08-30	USA: Canterbury NH	not collected	sample	oro162746
oro162747		PRJNA518082	not collected		feces metagenome	2016-08-30	USA: Canterbury NH	not collected	sample	oro162747
oro162748		PRJNA518082	not collected		feces metagenome	2016-08-30	USA: Canterbury NH	not collected	sample	oro162748
oro162749		PRJNA518082	not collected		feces metagenome	2016-08-30	USA: Canterbury NH	not collected	sample	oro162749
oro162751		PRJNA518082	not collected		feces metagenome	2016-08-30	USA: Canterbury NH	not collected	sample	oro162751
oro162754		PRJNA518082	not collected		feces metagenome	2016-08-30	USA: Canterbury NH	not collected	sample	oro162754
oro162757		PRJNA518082	not collected		feces metagenome	2016-08-30	USA: Canterbury NH	not collected	sample	oro162757
oro162759		PRJNA518082	not collected		feces metagenome	2016-09-06	USA: Canterbury NH	not collected	sample	oro162759
oro162762		PRJNA518082	not collected		feces metagenome	2016-09-06	USA: Canterbury NH	not collected	sample	oro162762
oro162763		PRJNA518082	not collected		feces metagenome	2016-09-06	USA: Canterbury NH	not collected	sample	oro162763
