SeqID1,SeqID2,betadistance,Method,Filt,BetaType,RareType,LegendLabel
libA,libD,0.00304646564901756,deblur,standard,morisita,rarefied,morisita - standard
libB,libC,0.0016238377927118,deblur,standard,morisita,rarefied,morisita - standard
libB,libD,0.00116520737562242,deblur,standard,morisita,rarefied,morisita - standard
libC,libD,0.000812136015573395,deblur,standard,morisita,rarefied,morisita - standard
libA,libB,0,deblur,extra,morisita,rarefied,morisita - extra
libA,libC,0.00208979427054223,deblur,extra,morisita,rarefied,morisita - extra
libA,libD,0.00144386246141626,deblur,extra,morisita,rarefied,morisita - extra
libB,libC,0,deblur,extra,morisita,rarefied,morisita - extra
libB,libD,0,deblur,extra,morisita,rarefied,morisita - extra
libC,libD,0,deblur,extra,morisita,rarefied,morisita - extra
libA,libB,0.0533492438750576,vsearch,basic,morisita,rarefied,morisita - basic
libA,libC,0.268061226647426,vsearch,basic,morisita,rarefied,morisita - basic
libA,libD,0.264655414972197,vsearch,basic,morisita,rarefied,morisita - basic
libB,libC,0.270627480172335,vsearch,basic,morisita,rarefied,morisita - basic
libB,libD,0.241297237726991,vsearch,basic,morisita,rarefied,morisita - basic
libC,libD,0.335581155554671,vsearch,basic,morisita,rarefied,morisita - basic
libA,libB,0.0585927005156491,vsearch,standard,morisita,rarefied,morisita - standard
libA,libC,0.264988868997719,vsearch,standard,morisita,rarefied,morisita - standard
libA,libD,0.269815797060444,vsearch,standard,morisita,rarefied,morisita - standard
libB,libC,0.251569017289095,vsearch,standard,morisita,rarefied,morisita - standard
libB,libD,0.226272131606675,vsearch,standard,morisita,rarefied,morisita - standard
libC,libD,0.295615107165059,vsearch,standard,morisita,rarefied,morisita - standard
libA,libB,0.0571109705911537,vsearch,extra,morisita,rarefied,morisita - extra
libA,libC,0.257782973519724,vsearch,extra,morisita,rarefied,morisita - extra
libA,libD,0.255691988100473,vsearch,extra,morisita,rarefied,morisita - extra
libB,libC,0.25027693372606,vsearch,extra,morisita,rarefied,morisita - extra
libB,libD,0.234418866367171,vsearch,extra,morisita,rarefied,morisita - extra
libC,libD,0.298484624910163,vsearch,extra,morisita,rarefied,morisita - extra
libA,libB,0.0869565217391304,vsearch,extra,dice,rarefied,dice - extra
libA,libC,0.130434782608696,vsearch,extra,dice,rarefied,dice - extra
libA,libD,0.130434782608696,vsearch,extra,dice,rarefied,dice - extra
libB,libC,0.130434782608696,vsearch,extra,dice,rarefied,dice - extra
libB,libD,0.130434782608696,vsearch,extra,dice,rarefied,dice - extra
libC,libD,0.217391304347826,vsearch,extra,dice,rarefied,dice - extra
