Dataset,length,lengthCounts,nObs,pObs
derep,537,11470,1841946,0.00622710980669357
derep,538,1589,1841946,0.000862674584379781
derep,539,1315,1841946,0.00071391886624255
derep,540,12462,1841946,0.00676567065484004
derep,541,1364,1841946,0.000740521166201398
derep,542,1194,1841946,0.00064822747246662
derep,543,9618,1841946,0.00522165144906528
derep,544,1290,1841946,0.00070034626422273
derep,545,1622,1841946,0.000880590419045944
derep,546,14135,1841946,0.00767394918200642
derep,547,1721,1841946,0.000934337923044432
derep,548,2227,1841946,0.0012090473879256
derep,549,15009,1841946,0.00814844734861934
derep,550,5532,1841946,0.00300334537494585
derep,551,2152,1841946,0.00116832958186613
derep,552,20193,1841946,0.0109628621034493
derep,553,1706,1841946,0.00092619436183254
derep,554,1930,1841946,0.00104780487593013
derep,555,25922,1841946,0.0140731595823113
derep,556,2847,1841946,0.00154564791801714
derep,557,1859,1841946,0.00100925868619384
derep,558,12932,1841946,0.00702083557281267
derep,559,2180,1841946,0.00118353089612833
derep,560,2001,1841946,0.00108635106566642
derep,561,14812,1841946,0.00804149524470316
derep,562,3809,1841946,0.00206792164373983
derep,563,2556,1841946,0.00138766283050643
derep,564,39685,1841946,0.0215451484462628
derep,565,5375,1841946,0.00291810943426137
derep,566,3151,1841946,0.00171069075857816
derep,567,25199,1841946,0.0136806399318981
derep,568,2750,1841946,0.00149298622218024
derep,569,2526,1841946,0.00137137570808265
derep,570,12290,1841946,0.00667229115294368
derep,571,3924,1841946,0.002130355613031
derep,572,3433,1841946,0.00186378970936173
derep,573,17384,1841946,0.00943784454050227
derep,574,3896,1841946,0.0021151542987688
derep,575,4255,1841946,0.00231005686377342
derep,576,56553,1841946,0.030702854481076
derep,577,8595,1841946,0.00466626057441423
derep,578,3815,1841946,0.00207117906822458
derep,579,45678,1841946,0.0247987726024541
derep,580,5673,1841946,0.00307989485033763
derep,581,5068,1841946,0.00275143788145798
derep,582,31139,1841946,0.0169054901718074
derep,583,6667,1841946,0.00361954150664569
derep,584,4349,1841946,0.00236108984736795
derep,585,21641,1841946,0.0117489872124373
derep,586,3296,1841946,0.00178941185029311
derep,587,3336,1841946,0.00181112801352483
derep,588,68902,1841946,0.0374071769747864
derep,589,14213,1841946,0.00771629570030826
derep,590,6372,1841946,0.00345938480281181
derep,591,36952,1841946,0.0200613915934561
derep,592,9210,1841946,0.00500014658410181
derep,593,5420,1841946,0.00294254011789705
derep,594,14561,1841946,0.00790522632042416
derep,595,2908,1841946,0.0015787650669455
derep,596,3076,1841946,0.00166997295251869
derep,597,5254,1841946,0.00285241804048544
derep,598,1836,1841946,0.000996771892335606
derep,599,3850,1841946,0.00209018071105233
derep,600,13233,1841946,0.0071842497011313
derep,601,5245,1841946,0.00284753190375831
derep,602,4642,1841946,0.00252016074304024
derep,603,10205,1841946,0.00554033614449066
derep,604,2465,1841946,0.00133825855915429
derep,605,3467,1841946,0.00188224844810869
derep,606,8779,1841946,0.00476615492528011
derep,607,3223,1841946,0.00174977985239524
derep,608,4093,1841946,0.00222210640268499
derep,609,13171,1841946,0.00715058964812215
derep,610,3846,1841946,0.00208800909472916
derep,611,6534,1841946,0.00354733526390024
derep,612,10335,1841946,0.00561091367499373
derep,613,6176,1841946,0.00335297560297642
derep,614,13327,1841946,0.00723528268472583
derep,615,7995,1841946,0.00434051812593855
derep,616,2671,1841946,0.00145009679979761
derep,617,2981,1841946,0.00161839706484338
derep,618,10175,1841946,0.00552404902206688
derep,619,3945,1841946,0.00214175659872765
derep,620,4219,1841946,0.00229051231686488
derep,621,10765,1841946,0.00584436242973464
derep,622,5753,1841946,0.00312332717680106
derep,623,3832,1841946,0.00208040843759806
derep,624,8251,1841946,0.00447950157062151
derep,625,4577,1841946,0.00248487197778871
derep,626,3957,1841946,0.00214827144769716
derep,627,9539,1841946,0.00517876202668265
derep,628,5807,1841946,0.00315264399716387
derep,629,7199,1841946,0.00390836647762747
derep,630,14672,1841946,0.00796548867339216
derep,631,7672,1841946,0.00416516010784247
derep,632,20380,1841946,0.0110643851665575
derep,633,13250,1841946,0.00719347907050478
derep,634,6008,1841946,0.00326176771740322
derep,635,4796,1841946,0.00260376797148233
derep,636,9711,1841946,0.00527214152857901
derep,637,7204,1841946,0.00391108099803143
derep,638,5018,1841946,0.00272429267741834
derep,639,6091,1841946,0.00330682875610903
derep,640,3034,1841946,0.0016471709811254
derep,641,2644,1841946,0.0014354383896162
derep,642,3489,1841946,0.00189419233788613
derep,643,3815,1841946,0.00207117906822458
derep,644,2124,1841946,0.00115312826760394
derep,645,4457,1841946,0.00241972348809357
derep,646,3681,1841946,0.00199842992139835
derep,647,2180,1841946,0.00118353089612833
derep,648,4822,1841946,0.00261788347758295
derep,649,6680,1841946,0.003626599259696
derep,650,2889,1841946,0.00156844988941044
derep,651,3419,1841946,0.00185618905223063
derep,652,6615,1841946,0.00359131049444446
derep,653,2456,1841946,0.00133337242242715
derep,654,8610,1841946,0.00467440413562613
derep,655,12867,1841946,0.00698554680756113
derep,656,3483,1841946,0.00189093491340137
derep,657,34533,1841946,0.0187481066220182
derep,658,460017,1841946,0.249745106534068
derep,659,5934,1841946,0.00322159281542456
derep,660,14362,1841946,0.00779718840834639
derep,661,2129,1841946,0.0011558427880079
derep,662,1577,1841946,0.000856159735410267
derep,663,981,1841946,0.00053258890325775
derep,664,974,1841946,0.0005287885746922
derep,665,1970,1841946,0.00106952103916184
derep,666,956,1841946,0.00051901630123793
derep,667,677,1841946,0.000367546062696735
derep,668,415,1841946,0.000225305193529018
derep,669,908,1841946,0.000492956905359875
derep,670,591,1841946,0.000320856311748553
derep,671,1245,1841946,0.000675915580587053
derep,672,655,1841946,0.000355602172919293
derep,673,899,1841946,0.000488070768632739
derep,674,328,1841946,0.000178072538500043
derep,675,1526,1841946,0.000828471627289834
derep,676,1227,1841946,0.000666143307132782
derep,677,758,1841946,0.000411521293240953
derep,678,1077,1841946,0.00058470769501386
derep,679,537,1841946,0.000291539491385741
derep,680,663,1841946,0.000359945405565635
derep,681,699,1841946,0.000379489952474177
derep,682,556,1841946,0.000301854668920804
derep,683,408,1841946,0.000221504864963468
derep,684,751,1841946,0.000407720964675403
derep,685,300,1841946,0.000162871224237844
derep,686,497,1841946,0.000269823328154028
derep,687,815,1841946,0.000442466825846143
derep,688,594,1841946,0.000322485023990931
derep,689,179,1841946,9.71798304619136e-05
derep,690,857,1841946,0.000465268797239441
derep,691,268,1841946,0.000145498293652474
derep,692,79,1841946,4.28894223826323e-05
derep,693,166,1841946,9.01220774116071e-05
derep,694,165,1841946,8.95791733308143e-05
derep,695,96,1841946,5.21187917561101e-05
derep,696,405,1841946,0.00021987615272109
derep,697,110,1841946,5.97194488872095e-05
derep,698,104,1841946,5.64620244024526e-05
derep,699,315,1841946,0.000171014785449736
derep,700,209,1841946,0.000113466952885698
derep,701,530,1841946,0.000287739162820191
derep,702,170,1841946,9.22936937347783e-05
derep,703,109,1841946,5.91765448064167e-05
derep,704,95,1841946,5.15758876753173e-05
derep,705,388,1841946,0.000210646783347612
derep,706,360,1841946,0.000195445469085413
derep,707,145,1841946,7.8721091714958e-05
derep,708,147,1841946,7.98068998765436e-05
derep,709,182,1841946,9.88085427042921e-05
derep,710,102,1841946,5.5376216240867e-05
derep,711,105,1841946,5.70049284832454e-05
derep,712,223,1841946,0.000121067610016797
derep,713,85,1841946,4.61468468673892e-05
derep,714,332,1841946,0.000180244154823214
derep,715,154,1841946,8.36072284420933e-05
derep,716,93,1841946,5.04900795137317e-05
derep,717,347,1841946,0.000188387716035106
derep,718,47,1841946,2.55164917972622e-05
derep,719,24,1841946,1.30296979390275e-05
derep,720,42,1841946,2.28019713932982e-05
derep,721,34,1841946,1.84587387469557e-05
derep,722,13,1841946,7.05775305030658e-06
derep,723,137,1841946,7.43778590686155e-05
derep,724,97,1841946,5.26616958369029e-05
derep,725,17,1841946,9.22936937347783e-06
derep,726,173,1841946,9.39224059771568e-05
derep,727,26,1841946,1.41155061006132e-05
derep,728,16,1841946,8.68646529268502e-06
derep,729,56,1841946,3.04026285243976e-05
derep,730,62,1841946,3.36600530091544e-05
derep,731,130,1841946,7.05775305030658e-05
derep,732,57,1841946,3.09455326051904e-05
derep,733,18,1841946,9.77227345427065e-06
derep,734,73,1841946,3.96319978978754e-05
derep,735,29,1841946,1.57442183429916e-05
derep,736,22,1841946,1.19438897774419e-05
derep,737,14,1841946,7.60065713109939e-06
derep,738,41,1841946,2.22590673125054e-05
derep,739,90,1841946,4.88613672713532e-05
derep,740,30,1841946,1.62871224237844e-05
derep,741,59,1841946,3.2031340766776e-05
derep,742,10,1841946,5.42904080792814e-06
derep,743,10,1841946,5.42904080792814e-06
derep,744,172,1841946,9.33795018963639e-05
derep,745,101,1841946,5.48333121600742e-05
derep,746,74,1841946,4.01749019786682e-05
derep,747,36,1841946,1.95445469085413e-05
derep,748,16,1841946,8.68646529268502e-06
derep,749,20,1841946,1.08580816158563e-05
derep,750,21,1841946,1.14009856966491e-05
derep,751,124,1841946,6.73201060183089e-05
derep,752,106,1841946,5.75478325640382e-05
derep,753,31,1841946,1.68300265045772e-05
derep,754,72,1841946,3.90890938170826e-05
