SeqID,StudyID,SampleType,Library,WOY,DNAplate,Site,Date,MonthStart
oro160604,oro16,sample,libB,22,14,MAP,2015-05-26,May
oro160605,oro16,sample,libB,22,14,MAP,2015-05-26,May
oro160606,oro16,sample,libB,22,14,MAP,2015-05-26,May
oro160607,oro16,sample,libB,22,14,MAP,2015-05-26,May
oro160608,oro16,sample,libB,22,14,MAP,2016-06-04,May
oro160609,oro16,sample,libB,22,14,MAP,2016-06-04,May
oro160610,oro16,sample,libB,22,14,MAP,2016-06-04,May
oro160611,oro16,sample,libB,22,14,MAP,2016-06-04,May
oro160612,oro16,sample,libB,22,14,MAP,2016-06-04,May
oro160613,oro16,sample,libB,22,14,MAP,2016-06-04,May
oro160614,oro16,sample,libB,22,14,MAP,2016-06-04,May
oro160615,oro16,sample,libB,22,14,MAP,2016-06-04,May
oro160616,oro16,sample,libB,22,14,MAP,2016-06-04,May
oro160617,oro16,sample,libB,22,14,MAP,2016-06-04,May
oro160618,oro16,sample,libB,22,14,MAP,2016-06-04,May
oro160619,oro16,sample,libB,22,14,MAP,2016-06-04,May
oro160620,oro16,sample,libB,23,14,MAP,2016-06-10,June
oro160621,oro16,sample,libB,23,14,MAP,2016-06-10,June
oro160622,oro16,sample,libB,23,14,MAP,2016-06-10,June
oro160624,oro16,sample,libB,23,14,MAP,2016-06-10,June
oro160625,oro16,sample,libB,23,14,MAP,2016-06-10,June
oro160626,oro16,sample,libB,23,14,MAP,2016-06-10,June
oro160627,oro16,sample,libB,23,14,MAP,2016-06-10,June
oro160628,oro16,sample,libB,23,14,MAP,2016-06-10,June
oro160629,oro16,sample,libB,23,14,MAP,2016-06-10,June
oro160634,oro16,sample,libB,24,14,MAP,2016-06-18,June
oro160635,oro16,sample,libB,24,14,MAP,2016-06-18,June
oro160636,oro16,sample,libB,24,14,MAP,2016-06-18,June
oro160637,oro16,sample,libB,24,14,MAP,2016-06-18,June
oro160638,oro16,sample,libB,24,14,MAP,2016-06-18,June
oro160639,oro16,sample,libB,24,14,MAP,2016-06-18,June
oro160640,oro16,sample,libB,24,14,MAP,2016-06-18,June
oro160641,oro16,sample,libB,24,14,MAP,2016-06-18,June
oro160642,oro16,sample,libB,24,14,MAP,2016-06-18,June
