SeqID StudyID SampleType Library
oro161794 oro16 sample libA
oro161795 oro16 sample libA
oro161796 oro16 sample libA
oro161797 oro16 sample libA
oro161798 oro16 sample libA
oro161799 oro16 sample libA
oro161800 oro16 sample libA
oro161801 oro16 sample libA
oro161802 oro16 sample libA
oro161803 oro16 sample libA
oro161804 oro16 sample libA
oro161805 oro16 sample libA
oro161807 oro16 sample libA
oro161808 oro16 sample libA
oro161809 oro16 sample libA
oro161810 oro16 sample libA
oro161811 oro16 sample libA
oro161812 oro16 sample libA
oro161813 oro16 sample libA
oro161814 oro16 sample libA
oro161815 oro16 sample libA
oro161816 oro16 sample libA
oro161817 oro16 sample libA
oro161818 oro16 sample libA
oro161819 oro16 sample libA
oro161820 oro16 sample libA
oro161821 oro16 sample libA
oro161822 oro16 sample libA
oro161823 oro16 sample libA
oro161824 oro16 sample libA
oro161825 oro16 sample libA
oro161826 oro16 sample libA
oro161827 oro16 sample libA
oro161828 oro16 sample libA
oro161829 oro16 sample libA
oro161830 oro16 sample libA
oro161831 oro16 sample libA
oro161832 oro16 sample libA
oro161833 oro16 sample libA
oro161884 oro16 sample libA
oro161885 oro16 sample libA
oro161886 oro16 sample libA
oro161887 oro16 sample libA
oro161888 oro16 sample libA
oro161889 oro16 sample libA
oro161890 oro16 sample libA
oro161891 oro16 sample libA
oro161892 oro16 sample libA
oro161893 oro16 sample libA
oro161894 oro16 sample libA
oro161895 oro16 sample libA
oro161896 oro16 sample libA
oro161897 oro16 sample libA
oro161898 oro16 sample libA
oro161899 oro16 sample libA
oro161900 oro16 sample libA
oro161901 oro16 sample libA
oro161902 oro16 sample libA
oro161903 oro16 sample libA
oro161904 oro16 sample libA
oro161905 oro16 sample libA
oro161906 oro16 sample libA
oro161907 oro16 sample libA
oro161908 oro16 sample libA
oro161909 oro16 sample libA
oro161910 oro16 sample libA
oro161911 oro16 sample libA
oro161912 oro16 sample libA
oro161913 oro16 sample libA
oro161914 oro16 sample libA
oro161915 oro16 sample libA
oro161916 oro16 sample libA
oro161917 oro16 sample libA
oro161918 oro16 sample libA
oro161919 oro16 sample libA
oro161920 oro16 sample libA
oro161921 oro16 sample libA
oro161923 oro16 sample libA
oro161924 oro16 sample libA
oro161925 oro16 sample libA
oro161926 oro16 sample libA
oro161927 oro16 sample libA
oro161928 oro16 sample libA
oro161929 oro16 sample libA
oro161930 oro16 sample libA
oro161931 oro16 sample libA
oro161932 oro16 sample libB
oro161933 oro16 sample libB
oro161934 oro16 sample libB
oro161935 oro16 sample libB
oro161936 oro16 sample libB
oro161937 oro16 sample libB
oro161938 oro16 sample libB
